iter	Logloss
0	0.6689435288
1	0.649134013
2	0.6359240712
3	0.6269715409
4	0.6180727309
5	0.6102699961
6	0.6025894851
7	0.59647426
8	0.590133701
9	0.5842582323
10	0.5800564131
11	0.5762190719
12	0.571847474
13	0.5668584868
14	0.5639280788
15	0.5594529942
16	0.5544531921
17	0.5513820585
18	0.548007089
19	0.5447126834
20	0.5411856828
21	0.5375201801
22	0.5345451882
23	0.5323371701
24	0.5298005654
25	0.5262456724
26	0.522873136
27	0.5202959369
28	0.5163353218
29	0.5132955155
30	0.5112850996
31	0.5092315786
32	0.5075328815
33	0.5055924123
34	0.5033155371
35	0.5006124243
36	0.4969801675
37	0.494362645
38	0.4917033965
39	0.4898852612
40	0.4871041766
41	0.4843867336
42	0.4820644688
43	0.4800556793
44	0.4777300367
45	0.4747281929
46	0.4722981028
47	0.4709468877
48	0.4678106017
49	0.4647081939
50	0.4628190114
51	0.4612398899
52	0.4587177308
53	0.4557766783
54	0.4526518361
55	0.4500003606
56	0.4470590244
57	0.4447563034
58	0.4423380463
59	0.4400894746
60	0.4379602687
61	0.4357649585
62	0.4338901939
63	0.4312615512
64	0.4287900374
65	0.4268515625
66	0.423656865
67	0.422313746
68	0.4203629077
69	0.4179406493
70	0.4146754628
71	0.4130595535
72	0.4112460943
73	0.4094548196
74	0.4066354962
75	0.4051545679
76	0.4023526137
77	0.4001784882
78	0.398712268
79	0.3963814278
80	0.3939569403
81	0.3908047912
82	0.3886305372
83	0.386396003
84	0.38408138
85	0.3816012546
86	0.3793416116
87	0.3767164767
88	0.3748447898
89	0.3734862177
90	0.3720392671
91	0.3703462375
92	0.3681098216
93	0.3662989309
94	0.3645843836
95	0.3620715117
96	0.3599777536
97	0.357640739
98	0.3557832542
99	0.3543315059
