iter	Passed	Remaining
0	28	2782
1	46	2287
2	62	2026
3	78	1884
4	106	2019
5	129	2030
6	149	1986
7	164	1893
8	180	1822
9	197	1774
10	213	1725
11	228	1677
12	244	1637
13	259	1596
14	276	1564
15	291	1530
16	307	1501
17	323	1471
18	338	1444
19	354	1418
20	370	1394
21	386	1368
22	402	1347
23	419	1326
24	435	1305
25	451	1284
26	466	1262
27	483	1243
28	499	1222
29	515	1202
30	530	1181
31	546	1161
32	563	1143
33	577	1121
34	592	1101
35	608	1082
36	624	1063
37	639	1044
38	656	1027
39	673	1010
40	689	992
41	705	973
42	721	956
43	737	938
44	753	921
45	769	902
46	785	885
47	803	870
48	821	855
49	839	839
50	857	824
51	875	807
52	892	791
53	910	775
54	926	757
55	943	741
56	958	723
57	975	706
58	992	689
59	1007	671
60	1023	654
61	1040	637
62	1057	620
63	1074	604
64	1091	587
65	1107	570
66	1123	553
67	1140	536
68	1158	520
69	1175	503
70	1192	486
71	1208	469
72	1225	453
73	1241	436
74	1258	419
75	1275	402
76	1292	386
77	1308	369
78	1325	352
79	1343	335
80	1362	319
81	1380	303
82	1399	286
83	1417	270
84	1436	253
85	1453	236
86	1471	219
87	1488	202
88	1505	186
89	1521	169
90	1537	152
91	1553	135
92	1571	118
93	1587	101
94	1604	84
95	1621	67
96	1638	50
97	1655	33
98	1672	16
99	1689	0
